date,commodity,expiry,strike,call_put,settle_price,volume,open_interest,oi_change,delta,implied_vol_pct,black76_price,futures_price,underlying_fut,dte,time_to_expiry_yrs
2026-04-02,KC,DEC26,100.0000,P,0.1400,0,23,0,0.0037,50.8300,0.1400,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,120.0000,P,0.3000,0,25,0,0.0083,46.2100,0.3000,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,130.0000,P,0.4400,0,35,0,0.0122,44.3400,0.4400,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,135.0000,P,0.5300,0,40,0,0.0148,43.4600,0.5300,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,140.0000,P,0.6500,0,70,0,0.0179,42.7700,0.6500,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,145.0000,P,0.7900,0,40,0,0.0216,42.0700,0.7900,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,147.5000,P,0.8700,0,30,0,0.0237,41.7400,0.8700,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,150.0000,P,0.9600,10,1988,0,0.0260,41.4400,0.9600,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,155.0000,P,1.1600,0,30,0,0.0312,40.8300,1.1600,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,160.0000,P,1.4000,0,10,0,0.0372,40.2800,1.4000,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,165.0000,P,1.6800,0,20,0,0.0441,39.7400,1.6800,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,170.0000,P,2.0200,0,20,0,0.0522,39.2800,2.0200,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,175.0000,P,2.4200,0,940,0,0.0614,38.8600,2.4200,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,180.0000,P,2.8800,0,628,0,0.0718,38.4600,2.8800,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,190.0000,P,4.0500,0,51,0,0.0968,37.8000,4.0500,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,195.0000,P,4.7700,0,103,0,0.1113,37.5100,4.7700,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,197.5000,P,5.1700,0,685,0,0.1192,37.3900,5.1700,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,200.0000,C,71.2700,0,8,0,0.8841,38.3300,70.7928,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,200.0000,P,5.5900,0,4102,0,0.1274,38.3300,6.0555,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,205.0000,P,6.5200,0,50,0,0.1448,37.0300,6.5200,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,210.0000,P,7.5700,0,122,0,0.1637,36.8300,7.5700,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,215.0000,P,8.7400,0,1250,0,0.1840,36.6500,8.7400,266.5500,DEC26,224,0.6137
