date,commodity,expiry,strike,call_put,settle_price,volume,open_interest,oi_change,delta,implied_vol_pct,black76_price,futures_price,underlying_fut,dte,time_to_expiry_yrs
2026-04-02,SB,AUG26,18.0000,C,0.2600,244,244,244,0.2049,29.5400,0.2600,15.6100,OCT26,104,0.2849
2026-04-02,SB,JAN27,9.0000,P,0.0100,0,200,0,0.0060,30.3700,0.0100,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,10.0000,P,0.0200,0,400,0,0.0125,28.0200,0.0200,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,11.0000,P,0.0400,0,100,0,0.0251,25.9700,0.0400,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,12.0000,P,0.0700,0,1,0,0.0499,23.5300,0.0700,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,12.2500,P,0.0900,0,45,0,0.0590,23.5500,0.0900,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,12.7500,P,0.1200,0,60,0,0.0820,22.4900,0.1200,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,13.7500,P,0.2500,0,40,0,0.1525,21.7100,0.2500,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,14.0000,C,2.5600,0,2,0,0.8309,22.2400,2.5391,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,14.0000,P,0.3000,50,318,50,0.1760,22.2400,0.3205,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,14.2500,P,0.3600,0,224,0,0.2016,21.6700,0.3600,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,14.5000,P,0.4200,40,151,10,0.2296,21.5100,0.4200,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,14.7500,P,0.5000,0,125,0,0.2596,21.6400,0.5000,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,15.0000,C,1.8500,0,198,0,0.7102,21.8100,1.8399,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,15.0000,P,0.5800,0,510,0,0.2913,21.8100,0.5901,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,15.2500,C,1.7000,0,100,0,0.6764,21.9100,1.6938,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,15.2500,P,0.6800,0,300,0,0.3244,21.9100,0.6862,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,15.5000,C,1.5600,0,67,0,0.6421,22.0400,1.5577,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,15.5000,P,0.7900,0,115,0,0.3582,22.0400,0.7923,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,16.0000,C,1.3200,0,215,0,0.5739,22.3700,1.3155,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,16.0000,P,1.0300,0,5,0,0.4261,22.3700,1.0345,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,16.2500,C,1.2100,0,257,0,0.5407,22.6000,1.2100,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,16.5000,C,1.1100,5,679,5,0.5085,22.7700,1.1100,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,16.7500,C,1.0200,0,149,0,0.4775,23.0400,1.0222,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,16.7500,P,1.4700,0,81,0,0.5240,23.0400,1.4678,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,17.0000,C,0.9400,4,1423,0,0.4477,23.2700,0.9400,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,17.2500,C,0.8600,0,153,0,0.4194,23.4200,0.8600,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,17.5000,C,0.7900,3,128,0,0.3926,23.6400,0.7900,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,17.7500,C,0.7300,0,543,0,0.3674,23.9400,0.7300,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,18.0000,C,0.6700,0,359,0,0.3436,24.1300,0.6700,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,18.2500,C,0.6200,5,13,5,0.3213,24.4300,0.6200,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,18.5000,C,0.5700,0,670,0,0.3004,24.6300,0.5700,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,18.7500,C,0.5300,0,68,0,0.2810,24.9600,0.5300,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,19.0000,C,0.4900,1,386,0,0.2628,25.2100,0.4900,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,19.2500,C,0.4500,0,150,0,0.2460,25.3700,0.4500,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,19.5000,C,0.4200,0,2,0,0.2303,25.7000,0.4200,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,20.0000,C,0.3600,375,583,375,0.2022,26.1500,0.3600,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,20.7500,C,0.2900,0,248,0,0.1668,26.8900,0.2900,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,21.0000,C,0.2700,0,1,0,0.1566,27.1200,0.2700,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,21.5000,C,0.2400,0,2,0,0.1385,27.7600,0.2400,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,22.0000,C,0.2100,0,50,0,0.1227,28.2200,0.2100,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,22.5000,C,0.1900,0,6,0,0.1090,28.8900,0.1900,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,23.0000,C,0.1600,0,151,0,0.0973,28.9900,0.1600,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,23.5000,C,0.1500,0,272,0,0.0871,29.8300,0.1500,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,24.5000,C,0.1200,0,201,0,0.0702,30.7300,0.1200,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,25.0000,C,0.1000,0,216,0,0.0632,30.6900,0.1000,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN27,26.0000,C,0.0900,0,10,0,0.0516,32.1400,0.0900,16.2900,MAR27,257,0.7041
2026-04-02,SB,JAN28,24.0000,C,0.3500,5,30,5,0.1502,23.8300,0.3500,16.7400,MAR28,622,1.7041
2026-04-02,SB,JUL26,10.0000,P,0.0100,0,1186,0,0.0058,41.6000,0.0100,15.2100,JUL26,74,0.2027
2026-04-02,SB,JUL26,10.5000,P,0.0100,0,5,0,0.0084,37.2600,0.0100,15.2100,JUL26,74,0.2027
2026-04-02,SB,JUL26,11.0000,P,0.0100,0,2004,0,0.0125,33.1100,0.0100,15.2100,JUL26,74,0.2027
2026-04-02,SB,JUL26,11.2500,C,3.9600,0,1,0,0.9836,34.6500,3.9445,15.2100,JUL26,74,0.2027
2026-04-02,SB,JUL26,11.2500,P,0.0100,0,42,0,0.0156,34.6500,0.0205,15.2100,JUL26,74,0.2027
2026-04-02,SB,JUL26,11.5000,P,0.0200,0,4865,0,0.0196,32.3500,0.0200,15.2100,JUL26,74,0.2027
2026-04-02,SB,JUL26,11.7500,P,0.0200,0,213,0,0.0249,30.2100,0.0200,15.2100,JUL26,74,0.2027
2026-04-02,SB,JUL26,12.0000,C,3.2300,0,1,0,0.9684,31.7900,3.2198,15.2100,JUL26,74,0.2027
2026-04-02,SB,JUL26,12.0000,P,0.0300,0,1989,0,0.0320,31.7900,0.0389,15.2100,JUL26,74,0.2027
2026-04-02,SB,JUL26,12.2500,P,0.0300,0,227,0,0.0413,28.0200,0.0300,15.2100,JUL26,74,0.2027
2026-04-02,SB,JUL26,12.5000,C,2.7500,0,1,0,0.9469,29.6400,2.7425,15.2100,JUL26,74,0.2027
2026-04-02,SB,JUL26,12.5000,P,0.0500,1,4060,0,0.0535,29.6400,0.0571,15.2100,JUL26,74,0.2027
2026-04-02,SB,JUL26,12.7500,P,0.0600,0,1545,0,0.0694,27.5900,0.0600,15.2100,JUL26,74,0.2027
2026-04-02,SB,JUL26,13.0000,C,2.2800,0,24,0,0.9102,27.5900,2.2749,15.2100,JUL26,74,0.2027
2026-04-02,SB,JUL26,13.0000,P,0.0800,1,9297,1,0.0897,27.5900,0.0850,15.2100,JUL26,74,0.2027
2026-04-02,SB,JUL26,13.2500,C,2.0600,0,40,0,0.8844,27.3400,2.0561,15.2100,JUL26,74,0.2027
2026-04-02,SB,JUL26,13.2500,P,0.1100,0,2896,0,0.1151,27.3400,0.1139,15.2100,JUL26,74,0.2027
2026-04-02,SB,JUL26,13.5000,C,1.8500,0,53,0,0.8530,26.9200,1.8421,15.2100,JUL26,74,0.2027
